text,label
open notepad,open notepad
launch notepad,open notepad
start notepad,open notepad
open calculator,open calculator
launch calculator,open calculator
start calculator,open calculator
open chrome,open chrome
launch chrome,open chrome
start chrome,open chrome
open firefox,open firefox
launch firefox,open firefox
start firefox,open firefox
open edge,open edge
launch edge,open edge
start edge,open edge
open word,open word
launch word,open word
start word,open word
open excel,open excel
launch excel,open excel
start excel,open excel
open powerpoint,open powerpoint
launch powerpoint,open powerpoint
start powerpoint,open powerpoint
open paint,open paint
launch paint,open paint
start paint,open paint
open vscode,open vscode
launch vscode,open vscode
start vscode,open vscode
open visual studio code,open vscode
open code,open vscode
open spotify,open spotify
launch spotify,open spotify
start spotify,open spotify
open discord,open discord
launch discord,open discord
start discord,open discord
open steam,open steam
launch steam,open steam
start steam,open steam
close notepad,close notepad
exit notepad,close notepad
quit notepad,close notepad
close calculator,close calculator
exit calculator,close calculator
quit calculator,close calculator
close chrome,close chrome
exit chrome,close chrome
quit chrome,close chrome
close firefox,close firefox
exit firefox,close firefox
quit firefox,close firefox
close edge,close edge
exit edge,close edge
quit edge,close edge
close word,close word
exit word,close word
quit word,close word
close excel,close excel
exit excel,close excel
quit excel,close excel
close powerpoint,close powerpoint
exit powerpoint,close powerpoint
quit powerpoint,close powerpoint
close paint,close paint
exit paint,close paint
quit paint,close paint
close vscode,close vscode
exit vscode,close vscode
quit vscode,close vscode
close visual studio code,close vscode
close code,close vscode
close spotify,close spotify
exit spotify,close spotify
quit spotify,close spotify
close discord,close discord
exit discord,close discord
quit discord,close discord
close steam,close steam
exit steam,close steam
quit steam,close steam

